model_name,model_type,total_tiles,total_sram_mb,peak_compute_tflops,latency_ms,achieved_tflops,pcu_utilization_pct,total_energy_j,sram_spilled,pipeline_stalls,bottleneck,grid_dim,sram_mb_size,hbm_bandwidth_gb_s,bus_bandwidth_gb_s
DeepSeek-V3-MoE,moe,506944,64,1013.89,10.2563,668.346,65.9191,0.85541,Yes,846534,Compute Pipeline Bound (Balanced Design),712x712,64,2400,9600
LLaMA-3-70B,dense,506944,64,1013.89,21.6976,836.127,82.4674,0.808957,Yes,2238104,Compute Pipeline Bound (Balanced Design),712x712,64,4800,2400
DeepSeek-V3-MoE,moe,506944,64,1013.89,10.8165,633.735,62.5055,0.85541,Yes,846534,Compute Pipeline Bound (Balanced Design),712x712,64,4800,2400
LLaMA-3-70B,dense,506944,64,1013.89,21.1924,856.059,84.4333,0.808957,Yes,2238104,Compute Pipeline Bound (Balanced Design),712x712,64,4800,4800
DeepSeek-V3-MoE,moe,506944,64,1013.89,9.73954,703.808,69.4167,0.85541,Yes,846534,Compute Pipeline Bound (Balanced Design),712x712,64,4800,4800
LLaMA-3-70B,dense,506944,64,1013.89,20.9398,866.385,85.4517,0.808957,Yes,2238104,Compute Pipeline Bound (Balanced Design),712x712,64,4800,9600
DeepSeek-V3-MoE,moe,506944,64,1013.89,9.20109,744.995,73.479,0.85541,Yes,846534,Compute Pipeline Bound (Balanced Design),712x712,64,4800,9600
LLaMA-3-70B,dense,506944,128,1013.89,23.2882,779.019,76.8348,0.797683,Yes,2238104,Compute Pipeline Bound (Balanced Design),712x712,128,1200,2400
DeepSeek-V3-MoE,moe,506944,128,1013.89,13.9057,492.947,48.6195,0.844136,Yes,846534,Compute Pipeline Bound (Balanced Design),712x712,128,1200,2400
LLaMA-3-70B,dense,506944,128,1013.89,22.783,796.292,78.5385,0.797683,Yes,2238104,Compute Pipeline Bound (Balanced Design),712x712,128,1200,4800
DeepSeek-V3-MoE,moe,506944,128,1013.89,12.8288,534.327,52.7008,0.844136,Yes,846534,Compute Pipeline Bound (Balanced Design),712x712,128,1200,4800
LLaMA-3-70B,dense,506944,128,1013.89,22.5304,805.219,79.419,0.797683,Yes,2238104,Compute Pipeline Bound (Balanced Design),712x712,128,1200,9600
DeepSeek-V3-MoE,moe,506944,128,1013.89,12.2903,557.737,55.0097,0.844136,Yes,846534,Compute Pipeline Bound (Balanced Design),712x712,128,1200,9600
LLaMA-3-70B,dense,506944,128,1013.89,22.215,816.651,80.5465,0.797683,Yes,2238104,Compute Pipeline Bound (Balanced Design),712x712,128,2400,2400
