model_name,model_type,total_tiles,total_sram_mb,peak_compute_tflops,latency_ms,achieved_tflops,pcu_utilization_pct,total_energy_j,sram_spilled,pipeline_stalls,bottleneck,grid_dim,sram_per_tile_kb,compression,hbm_bandwidth_gb_s
DeepSeek-V3-MoE,moe,1024,256,1048.58,8.3133,824.554,78.6356,0.327723,Yes,102144,Compute Pipeline Bound (Balanced Design),32x32,256,FP8,1200
LLaMA-3-70B,dense,1024,256,1048.58,18.6852,970.927,92.5948,0.706844,Yes,270336,Compute Pipeline Bound (Balanced Design),32x32,256,FP8,2400
DeepSeek-V3-MoE,moe,1024,256,1048.58,8.26035,829.84,79.1397,0.327723,Yes,102144,Compute Pipeline Bound (Balanced Design),32x32,256,FP8,2400
LLaMA-3-70B,dense,1024,256,1048.58,18.6405,973.253,92.8166,0.706844,Yes,270336,Compute Pipeline Bound (Balanced Design),32x32,256,FP8,4800
DeepSeek-V3-MoE,moe,1024,256,1048.58,8.23388,832.508,79.3941,0.327723,Yes,102144,Compute Pipeline Bound (Balanced Design),32x32,256,FP8,4800
LLaMA-3-70B,dense,1024,256,1048.58,18.1314,1000.58,95.4229,0.687302,No,270336,Compute Pipeline Bound (Balanced Design),32x32,256,INT4,1200
DeepSeek-V3-MoE,moe,1024,256,1048.58,7.45284,919.752,87.7144,0.316261,No,102144,Compute Pipeline Bound (Balanced Design),32x32,256,INT4,1200
LLaMA-3-70B,dense,1024,256,1048.58,18.1076,1001.89,95.5481,0.687302,No,270336,Compute Pipeline Bound (Balanced Design),32x32,256,INT4,2400
DeepSeek-V3-MoE,moe,1024,256,1048.58,7.43812,921.572,87.888,0.316261,No,102144,Compute Pipeline Bound (Balanced Design),32x32,256,INT4,2400
LLaMA-3-70B,dense,1024,256,1048.58,18.0958,1002.55,95.6108,0.687302,No,270336,Compute Pipeline Bound (Balanced Design),32x32,256,INT4,4800
DeepSeek-V3-MoE,moe,1024,256,1048.58,7.43076,922.485,87.975,0.316261,No,102144,Compute Pipeline Bound (Balanced Design),32x32,256,INT4,4800
LLaMA-3-70B,dense,2304,144,2359.3,10.6071,1710.36,72.4947,0.791428,Yes,120150,Compute Pipeline Bound (Balanced Design),48x48,64,None,1200
DeepSeek-V3-MoE,moe,2304,144,2359.3,6.70889,1021.74,43.3072,0.4042,Yes,45398,NoC Expert Routing Congestion (NoC Bandwidth Limit),48x48,64,None,1200
LLaMA-3-70B,dense,2304,144,2359.3,10.2324,1772.99,75.149,0.791428,Yes,120150,Compute Pipeline Bound (Balanced Design),48x48,64,None,2400
DeepSeek-V3-MoE,moe,2304,144,2359.3,6.39789,1071.41,45.4123,0.4042,Yes,45398,NoC Expert Routing Congestion (NoC Bandwidth Limit),48x48,64,None,2400
LLaMA-3-70B,dense,2304,144,2359.3,10.0451,1806.05,76.5504,0.791428,Yes,120150,Compute Pipeline Bound (Balanced Design),48x48,64,None,4800
