model_name,model_type,total_tiles,total_sram_mb,peak_compute_tflops,latency_ms,compute_time_ms,weight_stream_time_ms,noc_total_latency_ms,act_spill_time_ms,achieved_tflops,pcu_utilization_pct,total_energy_j,sram_spilled,bottleneck,grid_dim,sram_mb_size,hbm_bandwidth_gb_s,bus_bandwidth_gb_s
DeepSeek-V3-MoE,moe,65536,256.0,131.072,673.5433386666667,669.0133333333334,3.925333333333333,0.5384533333333333,0.458752,93.7371296347208,71.51575442102111,2.228618264576,True,Compute Pipeline Bound (Balanced Design),256x256,256.0,1200.0,9600.0
LLaMA-3-70B,dense,65536,256.0,131.072,146.18623999999997,144.17919999999998,0.7918933333333333,1.0103466666666667,0.2839893333333333,124.10156973942281,94.68198374894928,0.7751342227456,True,Compute Pipeline Bound (Balanced Design),256x256,256.0,2400.0,2400.0
DeepSeek-V3-MoE,moe,65536,256.0,131.072,673.1629226666668,669.0133333333334,1.9626666666666666,2.1538133333333334,0.229376,93.79010210647527,71.55616920965215,2.228618264576,True,Compute Pipeline Bound (Balanced Design),256x256,256.0,2400.0,2400.0
LLaMA-3-70B,dense,65536,256.0,131.072,145.68106666666665,144.17919999999998,0.7918933333333333,0.5051733333333334,0.2839893333333333,124.53191257731957,95.0103092783505,0.7751342227456,True,Compute Pipeline Bound (Balanced Design),256x256,256.0,2400.0,4800.0
DeepSeek-V3-MoE,moe,65536,256.0,131.072,672.0860160000001,669.0133333333334,1.9626666666666666,1.0769066666666667,0.229376,93.94038523069045,71.6708261342548,2.228618264576,True,Compute Pipeline Bound (Balanced Design),256x256,256.0,2400.0,4800.0
LLaMA-3-70B,dense,65536,256.0,131.072,145.42847999999998,144.17919999999998,0.7918933333333333,0.2525866666666667,0.2839893333333333,124.74820515420365,95.17532741867343,0.7751342227456,True,Compute Pipeline Bound (Balanced Design),256x256,256.0,2400.0,9600.0
DeepSeek-V3-MoE,moe,65536,256.0,131.072,671.5475626666667,669.0133333333334,1.9626666666666666,0.5384533333333333,0.229376,94.01570754049266,71.7282924961034,2.228618264576,True,Compute Pipeline Bound (Balanced Design),256x256,256.0,2400.0,9600.0
LLaMA-3-70B,dense,65536,256.0,131.072,145.6878933333333,144.17919999999998,0.39594666666666667,1.0103466666666667,0.14199466666666666,124.52607724099151,95.00585727004356,0.7751342227456,True,Compute Pipeline Bound (Balanced Design),256x256,256.0,4800.0,2400.0
DeepSeek-V3-MoE,moe,65536,256.0,131.072,672.1650346666668,669.0133333333334,0.9813333333333333,2.1538133333333334,0.114688,93.9293417464206,71.66240062440536,2.228618264576,True,Compute Pipeline Bound (Balanced Design),256x256,256.0,4800.0,2400.0
LLaMA-3-70B,dense,65536,256.0,131.072,145.18272,144.17919999999998,0.39594666666666667,0.5051733333333334,0.14199466666666666,124.95937435463394,95.33643673296656,0.7751342227456,True,Compute Pipeline Bound (Balanced Design),256x256,256.0,4800.0,4800.0
